Date,Stock,Action,Shares,Price,Value,Cost
2013-09-19,AAPL,BUY,75226,9.297121047973633,699385.2279548645,699.3852279548645
2013-09-20,AAPL,SELL,76486,9.153453826904297,700111.069404602,700.1110694046021
2013-09-23,AAPL,BUY,590,9.242389678955078,5453.009910583496,5.453009910583496
2013-09-24,AAPL,BUY,75661,9.249232292175291,699806.1644582747,699.8061644582748
2013-09-25,AAPL,BUY,31,9.242389678955078,286.5140800476074,0.2865140800476074
2013-09-26,AAPL,SELL,249,9.297121047973633,2314.9831409454346,2.3149831409454347
2013-09-27,AAPL,BUY,390,9.215025901794434,3593.860101699829,3.5938601016998293
2013-09-30,AAPL,SELL,75935,9.091882705688477,690392.1132564545,690.3921132564545
2013-10-01,AAPL,BUY,492,9.153453826904297,4503.499282836914,4.5034992828369145
2013-10-02,AAPL,BUY,75277,9.132932662963867,687499.772069931,687.499772069931
2013-10-03,AAPL,SELL,75521,9.06452178955078,684561.7500686644,684.5617500686644
2013-10-04,AAPL,BUY,518,9.153453826904297,4741.489082336426,4.741489082336426
2013-10-07,AAPL,BUY,74897,9.091882705688477,680954.7390079498,680.9547390079498
2013-10-08,AAPL,SELL,75167,9.098727226257324,683924.0294160843,683.9240294160843
2013-10-09,AAPL,SELL,62,9.043993949890137,560.7276248931885,0.5607276248931885
2013-10-10,AAPL,BUY,904,9.269755363464355,8379.858848571777,8.379858848571777
2013-10-11,AAPL,BUY,72810,9.365525245666504,681903.8931369781,681.9038931369781
2013-10-14,AAPL,SELL,600,9.447624206542969,5668.574523925781,5.668574523925781
2013-10-15,AAPL,BUY,854,9.262913703918455,7910.5283031463605,7.910528303146361
2013-10-16,AAPL,SELL,71878,9.406577110290527,676125.9495334625,676.1259495334625
2013-10-17,AAPL,BUY,70544,9.618657112121582,678538.5473175049,678.5385473175049
2013-10-18,AAPL,SELL,768,9.721267700195312,7465.93359375,7.46593359375
2013-10-21,AAPL,BUY,87,9.728113174438477,846.3458461761475,0.8463458461761475
2013-10-22,AAPL,SELL,84,9.782840728759766,821.7586212158203,0.8217586212158203
2013-10-23,AAPL,BUY,584,9.611812591552734,5613.298553466797,5.613298553466797
2013-10-24,AAPL,SELL,69288,9.625493049621582,666931.1624221802,666.9311624221801
2013-10-25,AAPL,BUY,68359,9.789682388305664,669212.8983821869,669.212898382187
2013-10-28,AAPL,SELL,381,9.817046165466309,3740.2945890426636,3.7402945890426635
2013-10-29,AAPL,BUY,211,9.782840728759766,2064.1793937683105,2.0641793937683106
2013-10-30,AAPL,BUY,25,9.769118309020996,244.2279577255249,0.2442279577255249
2013-10-31,AAPL,BUY,227,9.666213989257812,2194.2305755615234,2.1942305755615235
2013-11-01,AAPL,SELL,67948,9.597609519958496,652138.3716621399,652.1383716621399
2013-11-04,AAPL,BUY,527,9.686797142028809,5104.942093849182,5.104942093849182
2013-11-05,AAPL,BUY,67362,9.577028274536133,645127.778629303,645.127778629303
2013-11-06,AAPL,SELL,67601,9.638772010803224,651590.6267023088,651.5906267023088
2013-11-07,AAPL,BUY,68335,9.398663520812988,642257.6716947556,642.2576716947556
2013-11-08,AAPL,SELL,68460,9.748537063598633,667384.8473739624,667.3848473739624
2013-11-11,AAPL,BUY,67431,9.988649368286133,673544.6155529022,673.5446155529022
2013-11-12,AAPL,SELL,1167,10.194459915161133,11896.934720993042,11.896934720993043
2013-11-13,AAPL,SELL,256,10.365968704223633,2653.68798828125,2.65368798828125
