Date,Portfolio_Value
2013-06-11,634004.2500205785
2013-06-12,634980.9024616982
2013-06-13,639754.3989862973
2013-06-14,644329.8448082622
2013-06-17,646543.5242786917
2013-06-18,640678.4472731657
2013-06-19,644633.2644585186
2013-06-20,657842.8771750196
2013-06-21,661046.2655917824
2013-06-24,664788.6227132895
2013-06-25,661007.7063187577
2013-06-26,657941.6592988351
2013-06-27,664121.9608148979
2013-06-28,664399.2699760945
2013-07-01,660687.1245091514
2013-07-02,666504.67538996
2013-07-03,672101.5685532629
2013-07-05,667294.9367385427
2013-07-08,667752.4736525293
2013-07-09,666246.7266978456
2013-07-10,663622.3845351178
2013-07-11,674597.1925290971
2013-07-12,677035.4890820613
2013-07-15,679726.6783267062
2013-07-16,686182.3203226979
2013-07-17,686745.9951790187
2013-07-18,682836.4686195957
2013-07-19,683100.2792561688
2013-07-22,680686.6304145718
2013-07-23,683735.7167302674
2013-07-24,686270.499575539
2013-07-25,692250.8062098583
2013-07-26,695716.8776484281
2013-07-29,691963.2479038122
2013-07-30,692531.032998025
2013-07-31,690717.8559346923
2013-08-01,685699.574645797
2013-08-02,681396.292604291
2013-08-05,678972.20560791
2013-08-06,682494.0236860221
2013-08-07,681946.0459700669
2013-08-08,687553.9624251458
2013-08-09,693384.5019326557
2013-08-12,692062.3567957499
2013-08-13,693385.3493407962
2013-08-14,689143.4723056712
2013-08-15,691908.3189086963
2013-08-16,692799.7665644304
2013-08-19,690785.9849066554
2013-08-20,692412.2998530597
2013-08-21,689074.2221525167
2013-08-22,690022.6735850341
2013-08-23,693729.9983264598
2013-08-26,694646.1563633659
2013-08-27,698779.3920089521
2013-08-28,699423.3542041134
2013-08-29,702563.164346542
2013-08-30,704589.4242804105
2013-09-03,696979.0555936409
2013-09-04,701138.8119770808
2013-09-05,704717.0480391621
2013-09-06,700279.7096446815
2013-09-09,690408.4860763804
2013-09-10,698077.9580576184
2013-09-11,703007.0608110689
2013-09-12,699927.9269010497
2013-09-13,697395.3684697546
2013-09-16,696593.3379281212
2013-09-17,697122.133234693
2013-09-18,697206.6116287597
2013-09-19,704644.3955118367
2013-09-20,706494.8881101595
2013-09-23,702457.8827380273
2013-09-24,696652.3229643612
2013-09-25,696727.681507579
2013-09-26,696212.4288675357
2013-09-27,697246.5677945383
2013-09-30,692867.0525611285
2013-10-01,688545.8098336002
2013-10-02,688009.7818721969
2013-10-03,686291.6011557981
2013-10-04,683543.1127517864
2013-10-07,682988.5735818163
2013-10-08,684363.3658764972
2013-10-09,681366.3946295748
2013-10-10,681619.1367079245
2013-10-11,675174.6715872546
2013-10-14,669743.7434191374
2013-10-15,672479.3079939289
2013-10-16,669359.966958409
2013-10-17,672647.093669274
